Q_ID,FACTOR,SUPER FACTOR,ITEM HEBREW,ITEM ENGLISH,REV,RANK / SCALE,TYPE, FIT HEBREW,FIT ENGLISH,ANSWER HEBREW,ANSWER ENGLISH,ANS_OPT_HEBREW,ANS_OPT_ENGLISH,AYALON,NEW PILOT,DEMO,Ayalon pre-callibration,Nike,INCLUDED
regulation_5r,emotional regulation,emotional regulation,"כשאני נסער/ת, אני מתעצבן/ת על עצמי על ההרגשה הזאת","When I'm upset, I become irritated with myself for feeling that way.",yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
regulation_6r,emotional regulation,emotional regulation,"כשאני נסער/ת, אני מרגיש/ה שאני חלש/ה","When I'm upset, I feel like I am weak.",yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
regulation_7r,emotional regulation,emotional regulation,"כשאני נסער/ת, קשה לי להתרכז","When I'm upset, I have difficulty concentrating.",yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
regulation_8r,emotional regulation,emotional regulation,"כשאני נסער/ת, קשה לי להתמקד בדברים אחרים","When I'm upset, I have difficulty focusing on other things.",yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
regulation_9r,emotional regulation,emotional regulation,"כשאני נסער/ת, קשה לי לסיים דברים","When I'm upset, I have difficulty getting work done.",yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
regulation_10r,emotional regulation,emotional regulation,"כשאני נסער/ת, קשה לי לחשוב על דברים אחרים","When I'm upset, I have difficulty thinking about anything else.",yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
regulation_11,emotional regulation,emotional regulation,"כשאני נסער/ת, אני עדיין מסוגל/ת לסיים דברים","When I'm upset, I can still get things done.",,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,yes,,"AYALON,EH,"
regulation_12r,emotional regulation,emotional regulation,"כשאני נסער/ת, אני יכול/ה לאבד שליטה על ההתנהגות שלי","When I'm upset, I lose control over my behaviors.",yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,yes,,"AYALON,EH,"
regulation_13r,emotional regulation,emotional regulation,"כשאני נסער/ת, קשה לי לשלוט בהתנהגות שלי","When I'm upset, I have difficulty controlling my behaviors.",yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,yes,yes,,"AYALON,EH,"
regulation_14r,emotional regulation,emotional regulation,"כשאני נסער/ת, אני יכול/ה לאבד שליטה","When I'm upset, I become out of control.",yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,yes,,"AYALON,EH,"
regulation_15r,emotional regulation,emotional regulation,"כשאני נסער/ת, אני מרגיש/ה חוסר שליטה","When I'm upset, I feel out of control.",yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
regulation_16r,emotional regulation,emotional regulation,"כשאני נסער/ת, הרגשות שלי משתוללים ומציפים אותי",I experience my emotions as overwhelming and out of control.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
regulation_17,emotional regulation,emotional regulation,"כשאני נסער/ת, אני מרגיש/ה שאני יכול/ה לשלוט בהתנהגות שלי","When I'm upset, I feel like I can remain in control of my behaviors.",,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,yes,,"AYALON,EH,"
regulation_18,emotional regulation,emotional regulation,אני קשוב/ה לרגשות שלי,I am attentive to my feelings.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
regulation_19,emotional regulation,emotional regulation,אני שם/ה לב איך אני מרגיש/ה,I pay attention to how I feel.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
regulation_20,emotional regulation,emotional regulation,"כשאני נסער/ת, אני מכיר ברגשות שלי","When I'm upset, I acknowledge my emotions.",,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
regulation_21,emotional regulation,emotional regulation,"כשאני נסער/ת, אני מאמין/ה שהרגשות שלי הגיוניים וחשובים","When I'm upset, I believe that my feelings are valid and important.",,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
regulation_22,emotional regulation,emotional regulation,איכפת לי מאיך שאני מרגיש/ה,I care about what I am feeling.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
regulation_23,emotional regulation,emotional regulation,"כשאני נסער/ת, אני לוקח/ת זמן לעצמי כדי להבין איך אני באמת מרגיש/ה","When I'm upset, I take time to figure out what I'm really feeling.",,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
regulation_24r,emotional regulation,emotional regulation,"כשאני נסער/ת, אני מאמין/ה שזה ייגמר בכך שאני אהיה מאוד מדוכא/ת","When I'm upset, I believe that I'll end up feeling very depressed.",yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
regulation_25r,emotional regulation,emotional regulation,"כשאני נסער/ת, אני מאמין/ה שאני אשאר כך הרבה זמן","When I'm upset, I believe that I will remain that way for a long time.",yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
regulation_26r,emotional regulation,emotional regulation,"כשאני נסער/ת, אני מאמין/ה שכל מה שאני מסוגל/ת לעשות זה לשקוע בזה","When I'm upset, I believe that wallowing in it is all I can do.",yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
regulation_27r,emotional regulation,emotional regulation,"כשאני נסער/ת, לוקח לי הרבה זמן להרגיש טוב יותר","When I'm upset, it takes me a long time to feel better.",yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
regulation_28r,emotional regulation,emotional regulation,"כשאני נסער/ת, אני מאמין/ה שאין דבר שאני יכול/ה לעשות שיגרום לי להרגיש טוב יותר","When I'm upset, I believe that there is nothing I can do to make myself feel better.",yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
regulation_29,emotional regulation,emotional regulation,"כשאני נסער/ת, אני יודע/ת שבסופו של דבר אני אמצא דרך להרגיש יותר טוב","When I'm upset, I know that I can find a way to eventually feel better.",,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,yes,,"AYALON,EH,"
regulation_30r,emotional regulation,emotional regulation,"כשאני נסער/ת, הרגשות שלי מציפים אותי","When I'm upset, my emotions feel overwhelming.",yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
regulation_31r,emotional regulation,emotional regulation,"כשאני נסער/ת, אני מתחיל/ה להרגיש ממש רע עם עצמי","When I'm upset, I start to feel very bad about myself.",yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
regulation_32r,emotional regulation,emotional regulation,קשה לי למצוא הגיון ברגשות שלי,I have difficulty making sense out of my feelings.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
regulation_33r,emotional regulation,emotional regulation,אין לי מושג איך אני מרגיש/ה,I have no idea how I am feeling.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
regulation_34r,emotional regulation,emotional regulation,אני מבולבל/ת בנוגע לאיך שאני מרגיש/ה,I am confused about how I feel.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
regulation_35,emotional regulation,emotional regulation,אני יודע/ת בדיוק איך אני מרגיש/ה,I know exactly how I am feeling.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
regulation_36,emotional regulation,emotional regulation,אני ברור/ה בנוגע לרגשות שלי,I am clear about my feelings.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
profit_1,motivation to make money,motivation to make money,הדבר שהכי חשוב לי בעבודה זה להרוויח כסף,The most important thing for me at work is making money.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
profit_2,motivation to make money,motivation to make money,מה שמניע את רוב האנשים בעבודה זה כסף,Money motivates most people at work.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
profit_3r,motivation to make money,motivation to make money,אין לי בעיה להיות תלוי/ה באנשים אחרים מבחינה כלכלית,I have no problem being dependet on other people financially.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
profit_4,motivation to make money,motivation to make money,כסף הופך אנשים למאושרים,Money makes people happy.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,yes,,"AYALON,EH,"
profit_5,motivation to make money,motivation to make money,אני חולם/ת להתעשר,I dream of getting rich.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,yes,,"AYALON,EH,"
profit_6,motivation to make money,motivation to make money,המחשבה על להרוויח הרבה כסף מלהיבה אותי,The thought of making a lot of money excites me.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,yes,yes,,"AYALON,EH,"
profit_7,motivation to make money,motivation to make money,חשוב לי להתלבש במותגים,It is important for me to wear brands.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
profit_8,motivation to make money,motivation to make money,אני מקנא/ה באנשים עשירים,I envy rich people.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
profit_9r,motivation to make money,motivation to make money,כסף הוא בשבילי אמצעי להתקיים ולא יותר מזה,Money for me is a means to exist and nothing more.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,yes,,"AYALON,EH,"
general_1,general,general,אומרים עליי שיש לי כושר שכנוע,People say I am persuasive.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
general_2,general,general,אני מסוגל/ת לגרום לאדם לעשות משהו שהוא/היא לא התכוון/ת לעשות בעצמו/ה,I can make a person do something he didn't intend to do in the first place.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
general_3,general,general,"כשאני רוצה משהו, אני משיג/ה אותו","When I want something, I get it .",,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
general_4r,general,general,"כשמשהו לא הולך לי, אני מעדיף/ה לוותר","When something does not work for me, I prefer to give up.",yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
general_5,general,general,"כשצריך, אני יודע/ת להיות עקשן/ית","When necessary, I know how to be stubborn.",,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
general_6r,general,general,יש אנשים שפשוט אי-אפשר לשנות את דעתם,There are people that are just impossible to change their minds.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
service_1,service orientation,service orientation,האינטראקציה עם לקוחות מהנה עבורי,Interacting with customers is enjoyable.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
service_2,service orientation,service orientation,חשוב לי שהלקוח/ה יהיה/תהיה מרוצה,It is important to me that the customer is satisfied.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
service_3,service orientation,service orientation,העובדים במקומות העבודה הקודמים שלי סיפקו שירות מצוין,The employees at my restaurant provide excellent service.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
service_4,service orientation,service orientation,מנהלים קודמים שלי עודדו אותי לספק שירות מצוין,My manager encourages me to provide excellent service.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
service_5,service orientation,service orientation,ההכשרה שקיבלתי בעבר הכינה אותי לספק שירות מצוין,The training I received prepared me to provide excellent service.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
service_6,service orientation,service orientation,לקוחות מתנהגים אליי בכבוד,Customers treat me with respect.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
service_7r,service orientation,service orientation,"במקומות עבודה קודמים, בשעות העומס היה כל כך עמוס שלא הצלחנו לספק שירות מצוין",At peak hours it's so busy we can't provide excellent service.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
service_8,service orientation,service orientation,נהלי העבודה במקומות העבודה הקודמים שלי אפשרו לספק שירות מצוין בקלות,Our service procedures make it easy for me to give excellent service.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
service_9r,service orientation,service orientation,"המנהל שלי מצפה ממני לעבוד לפי הנהלים, גם אם זה אומר לתת שירות פחות טוב","My manager expects us to always follow procedures, even if it means giving less than excellent service.",yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
desirability_1r,social desirability,social desirability,לפעמים אני משליך/ה אשפה לא בפח,I sometimes litter.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",?,,,,,
desirability_2,social desirability,social desirability,אני תמיד מודה בטעויותיי ומתמודד/ת עם ההשלכות השליליות שלהן,I always admit my mistakes openly and face the potential negative consequences.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
desirability_3,social desirability,social desirability,בחיים אני תמיד מנומס/ת ומתחשב/ת באחרים,In life I am always polite and considerate of others.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,yes,,"AYALON,EH,"
desirability_4,social desirability,social desirability,"התנסיתי בסמים לא חוקיים (לדוגמא, מריחאונה, קוקאין, וכו')","I have tried illegal drugs (for example, marijuana, cocaine, etc.).",,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
desirability_5,social desirability,social desirability,"אני תמיד מקבל/ת את דעותיהם של אחרים, אפילו כשהם/ן לא מסכימים/ות עם הדעות שלי","I always accept others' opinions, even when they don't agree with my own.",,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,yes,,"AYALON,EH,"
desirability_6r,social desirability,social desirability,לפעמים אני מוציא/ה על אחרים את מצב הרוח הרע שלי,I take out my bad moods on others now and then.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
desirability_7r,social desirability,social desirability,קרה מקרה שבו ניצלתי מישהו/י אחר/ת,There has been an occasion when I took advantage of someone else.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
desirability_8,social desirability,social desirability,בשיחות אני תמיד מקשיב/ה ונותן/ת לאחרים/ות לסיים את המשפטים שלהם/ן,In conversation I always listen attentively and let others finish their sentences.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,yes,,"AYALON,EH,"
desirability_9,social desirability,social desirability,אני אף פעם לא מהסס/ת לעזור למישהו/י במקרה חירום,I never hesitate to help someone in case of emergency.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
desirability_10,social desirability,social desirability,"כשאני מבטיח/ה משהו, אני מקיים/ת אותו - בלי ""אם"", ""או"" או ""אבל""","When I have made a promise, I keep it - no ifs, ands or buts.",,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
desirability_11r,social desirability,social desirability,לפעמים אני מדבר/ת לרעה על אחרים מאחורי גבם,I occasionally speak badly of others behind their back.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,yes,,"AYALON,EH,"
desirability_12,social desirability,social desirability,לעולם לא אחיה על גבם של אנשים אחרים,I would never live off other people.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
desirability_13,social desirability,social desirability,"אני תמיד נשאר/ת חברותי/ת ואדיב/ה לאנשים אחרים, גם כשאני מאוד לחוץ/ה","I always stay friendly and courteous with other people, even when I am stressed out.",,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
desirability_14,social desirability,social desirability,בוויכוחים אני תמיד שומר/ת על אובייקטיביות והיצמדות לעובדות,During arguments I always stay objective and matter-of-fact.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
desirability_15r,social desirability,social desirability,קרה ששכחתי להחזיר פריט ששאלתי ממישהו/י אחר/ת,There has been at least one occasion when I failed to return an item that I borrowed.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
desirability_16,social desirability,social desirability,אני תמיד אוכל/ת אוכל בריא,I always eat a healthy diet.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
desirability_17r,social desirability,social desirability,לפעמים אני עוזר/ת רק בגלל שאני מצפה לקבל משהו בתמורה,Sometimes I only help because I expect something in return.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,yes,,"AYALON,EH,"
desirability_18r,social desirability,social desirability,לפעמים אני משקר/ת אם אין לי ברירה אחרת,I sometimes tell lies if I have to.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
desirability_19,social desirability,social desirability,לעולם איני מקלל,I never swear.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
desirability_20r,social desirability,social desirability,לפעמים אני מעדיף/ה להחזיר למי שפגע בי מאשר לסלוח ולשכוח,I sometimes try to get even rather than forgive and forget.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
desirability_21,social desirability,social desirability,"אני תמיד מציית לחוקים, גם אם אין סיכויי שאתפס","I always obey laws, even if I'm unlikely to get caught.",,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
desirability_22,social desirability,social desirability,"כאשר אני שומע/ת שאנשים מדברים ביניהם בפרטיות, אני נמנע/ת מלהקשיב","When I hear people talking privately, I avoid listening.",,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
desirability_23r,social desirability,social desirability,קיבלתי יותר עודף ממה שהגיע לי ממוכר בחנות מבלי ליידע אותו על כך,I have received too much change from a salesperson without telling him or her.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
desirability_24,social desirability,social desirability,אני תמיד מצהיר/ה במכס על כל מה שהבאתי,I always declare everything at customs.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
desirability_25r,social desirability,social desirability,"כשהייתי צעיר/ה, לפעמים גנבתי דברים",When I was young I sometimes stole things.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
desirability_26r,social desirability,social desirability,יש דברים שעשיתי ואני לא מספר/ת עליהם לאנשים אחרים,I have done things that I don't tell other people about.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
desirability_27,social desirability,social desirability,לעולם איני לוקח דברים שאינם שייכים לי,I never take things that don't belong to me.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
desirability_28r,social desirability,social desirability,לקחתי חופשת מחלה (מעבודה או לימודים) למרות שלא הייתי באמת חולה,I have taken sick-leave from work or school even though I wasn't really sick.,yes,,p,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
desirability_29,social desirability,social desirability,לא קרה שגרמתי נזק לספר בספריה או לסחורה בחנות מבלי שדיווחתי על כך,I have never damaged a library book or store merchandise without reporting it.,,,p,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
desirability_30r,social desirability,social desirability,יש לי כמה הרגלים ממש רעים,I have some pretty awful habits.,yes,,p,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
sociability_1,sociability,emotional intelligence,אני מרגיש/ה בנוח ליד אחרים,I feel comfortable around people.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
sociability_2,sociability,emotional intelligence,אני מתנהג/ת בנוחות ליד אחרים,I act comfortably with others.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
sociability_3,sociability,emotional intelligence,אני מיומנ/ת בהתמודדות עם מצבים חברתיים,I am skilled in handling social situations.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
sociability_4,sociability,emotional intelligence,אני מדבר/ת עם הרבה אנשים במסיבות,I talk to a lot of different people at parties.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
sociability_5,sociability,emotional intelligence,אני פותח/ת בשיחות,I Start conversations.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
sociability_6r,sociability,emotional intelligence,לעיתים אני חש/ה לא בנוח ליד אחרים,I often feel uncomfortable around others.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
sociability_7r,sociability,emotional intelligence,יש לי מעט להגיד,I have little to say.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
sociability_8r,sociability,emotional intelligence,יש לי קשיים לפנות אל אחרים,I find it difficult to approach others.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
sociability_9r,sociability,emotional intelligence,יש לי קשיים לבטא את רגשותיי,I have difficulty expressing my feelings.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
sociability_10r,sociability,emotional intelligence,אני מרגיש/ה בנוח רק עם חבריי,I only feel comfortable with friends.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
sociability_11,sociability,emotional intelligence,אני גורמ/ת לאנשים להרגיש רצויים,I make people feel welcome.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
sociability_12,sociability,emotional intelligence,אני מסתדר/ת היטב עם רוב האנשים,I can get along with most people.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
sociability_13,sociability,emotional intelligence,אני מתחבר/ת בקלות,I make friends easily.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
sociability_14,sociability,emotional intelligence,אנשים מרגישים נינוחים לידי,People feel at ease around me.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
sociability_15,sociability,emotional intelligence,אחרים חושבים שאני חברותי/ת,Others consider me friendly.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
sociability_16,sociability,emotional intelligence,אני אוהב/ת לפגוש אנשים חדשים,I like meeting new people.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
sociability_17,sociability,emotional intelligence,אני מתקשרת עם אחרים בקלות,I interact easily with others.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
sociability_18r,sociability,emotional intelligence,אני מעדיפ/ה לא לפגוש אנשים חדשים,I avoid meeting new people.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
sociability_19,sociability,emotional intelligence,אני חברותי/ת מטבעי,I have a friendly disposition.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
sociability_20,sociability,emotional intelligence,אני נהנה/ית מחברתם של אחרים,I enjoy the company of others.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
sociability_21,sociability,emotional intelligence,נראה כי אנשים מחבבים אותי,People seem to like me.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
sociability_22,sociability,emotional intelligence,אני נהנה/ית לדבר עם אחרים,I enjoy talking to others.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
sociability_23,sociability,emotional intelligence,אני גורמת לאנשים שהרגע הכרתי להרגיש בנוח,I put new acquaintances at ease.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
sociability_24,sociability,emotional intelligence,אני מתחיל/ה שיחות עם אנשים שאיני מכירה בקלות,I start conversations with strangers easily.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
competence_1,learning competence,learning competence,אני לומד/ת במהירות,I learn quickly.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,yes,,,
competence_2,learning competence,learning competence,אני משתמש/ת בשכל שלי,I use my brain.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,yes,,"AYALON,EH,"
competence_3,learning competence,learning competence,אני מצטיין/ת במה שאני עושה,I excel in what I do.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
